experiment_no.,execution_time
476,11.98550537783871
477,14.129049721277292
478,11.950792830428375
479,12.382178376102049
480,13.093259092196414
481,15.168671141857734
482,15.352485587053973
483,13.88642214910844
484,11.630039779773737
485,15.466192604478737
486,11.879821583795703
487,10.999726850877574
488,9.8874963784885
489,11.563817696019969
490,14.504793710224702
491,13.828254066702767
492,14.695717287627046
493,10.61430461833696
494,13.112256150263212
495,13.493770495630597
496,14.362984296963658
497,14.550346833121331
498,14.303061344639175
499,12.955231212139148
500,15.595840797837356
501,12.223212558600979
502,11.830173922865724
503,12.961971460638885
504,14.041357590502601
505,13.883648285025412
506,12.877408744511914
507,11.933384116097423
508,13.777510724162864
509,13.632976954954776
510,12.309592696751816
511,12.539499628417408
512,12.276475077625998
513,12.384610764465544
514,13.680356267471101
515,13.68777174184773
516,13.58368068655058
517,14.40109291700953
518,11.89969297591677
519,13.117040612553883
520,13.29898551401986
521,11.908875319492017
522,13.563394404728712
523,13.45039477292123
524,10.828330805426202
525,16.54014451424949
526,10.862963168845926
527,14.007728754846527
528,14.593200681831963
529,13.390706583448145
530,13.753623731993528
531,10.888942466848555
532,14.800116218376603
533,14.546428543121241
534,15.154907270777835
535,11.594639963192147
536,12.493212992631966
537,12.83958449286556
538,12.662272227811993
539,13.923857700982888
540,12.235499581004648
541,13.192043333955297
542,15.579152953417008
543,12.9555203554731
544,12.067948506170666
545,14.572041597842723
546,15.585717734803705
547,10.908625238059223
548,15.488301364653164
549,13.900353570099455
550,11.820770659639342
551,11.347334294526126
552,16.47317980684285
553,13.916659408974523
554,10.416331412537687
555,13.647014750171648
556,13.62873353471755
557,14.227491908901893
558,11.766335174285642
559,12.451999072854125
560,11.164771177109229
561,11.811338814946831
562,11.741561368457184
563,12.581942542051669
564,12.090842924168273
565,13.896332583940412
566,13.09276559839808
567,15.363678349790211
568,12.343763093904197
569,13.549147284808084
570,12.354031565443123
571,11.823797340808879
572,12.923017161823505
573,12.582473994795667
574,12.688527249759119
575,12.332451487435952
576,14.397783171302923
577,11.746079770556747
578,12.34035906048836
579,14.126492812865001
580,13.473627704624468
581,12.445091087480476
582,14.387768362114674
583,11.434020339788717
584,10.347005945285973
